match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,team1_win_percentage,team2_win_percentage,team1_recent_form,team2_recent_form,team1_powerplay,team2_powerplay,team1_death_overs,team2_death_overs
52,"May 3,2025","M. Chinnaswamy Stadium, Bangalore",RCB,CSK,League,CSK,Bowl,213.0,5.0,211.0,5.0,completed,RCB,2,Unknown,0.0,Romario Shepherd,Ayush Mhatre,94.0,Lungi Ngidi,3--30,62.5,28.57142857142857,0.6,0.4,1.4883720930232558,1.32,1.6824817518248176,1.4597701149425288
53,"May 4,2025","Eden Gardens, Kolkata",KKR,RR,League,KKR,Bat,206.0,4.0,205.0,8.0,completed,KKR,1,Unknown,0.0,Andre Russell,Riyan Parag,95.0,Varun Chakravarthy,2--32,35.714285714285715,28.57142857142857,0.2,0.4,1.4717391304347829,1.6958174904942966,1.681159420289855,1.5473684210526315
54,"May 4,2025","HPCA Stadium, Dharamshala",PBKS,LSG,League,LSG,Bowl,236.0,5.0,199.0,7.0,completed,PBKS,37,Unknown,0.0,Prabhsimran Singh,Prabhsimran Singh,91.0,Arshdeep Singh,3--16,64.70588235294117,42.85714285714285,0.6,0.4,1.526148969889065,1.4206500956022945,1.8675078864353312,1.544378698224852
55,"May 5,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,SRH,Bowl,133.0,7.0,Unknown,Unknown,tied,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,42.85714285714285,57.14285714285714,0.6,0.4,1.3948412698412698,1.3409090909090908,1.7761194029850746,1.6548042704626331
56,"May 6,2025","Wankhede Stadium, Mumbai",MI,GT,League,GT,Bowl,155.0,8.0,147.0,7.0,completed,GT,Unknown,3,0.0,Shubman Gill,Will Jacks,53.0,Jasprit Bumrah,2--19,50.0,60.0,0.6,0.4,1.495,1.4270462633451957,1.8045602605863191,1.596969696969697
57,"May 7,2025","Eden Gardens, Kolkata",KKR,CSK,League,KKR,Bat,179.0,6.0,183.0,8.0,completed,CSK,Unknown,2,2.0,Noor Ahmad,Dewald Brevis,52.0,Noor Ahmad,4--31,35.714285714285715,28.57142857142857,0.2,0.4,1.4717391304347829,1.32,1.681159420289855,1.4597701149425288
58,"May 17,2025","M. Chinnaswamy Stadium, Bangalore",RCB,KKR,League,Unknown,Bowl,Unknown,Unknown,Unknown,Unknown,tied,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,62.5,35.714285714285715,0.6,0.2,1.4883720930232558,1.4717391304347829,1.6824817518248176,1.681159420289855
59,"May 18,2025","Sawai Mansingh Stadium, Jaipur",RR,PBKS,League,PBKS,Bat,219.0,5.0,209.0,7.0,completed,PBKS,10,Unknown,0.0,Harpreet Brar,Nehal Wadhera,70.0,Harpreet Brar,3--22,28.57142857142857,64.70588235294117,0.4,0.6,1.6958174904942966,1.526148969889065,1.5473684210526315,1.8675078864353312
60,"May 18,2025","Arun Jaitley Stadium, Delhi",DC,GT,League,GT,Bowl,199.0,3.0,205.0,0.0,completed,GT,Unknown,10,6.0,Sai Sudarshan,Sai Sudarshan,108.0,Arshad Khan,1--7,57.14285714285714,60.0,0.4,0.4,1.3409090909090908,1.4270462633451957,1.6548042704626331,1.596969696969697
61,"May 19,2025","Ekana Cricket Stadium, Lucknow",LSG,SRH,League,SRH,Bowl,205.0,7.0,206.0,4.0,completed,SRH,Unknown,6,10.0,Abhishek Sharma,Mitchell Marsh,65.0,Eshan Malinga,2--28,42.85714285714285,42.85714285714285,0.4,0.6,1.4206500956022945,1.3948412698412698,1.544378698224852,1.7761194029850746
62,"May 20,2025","Arun Jaitley Stadium, Delhi",CSK,RR,League,RR,Bowl,187.0,8.0,188.0,4.0,completed,RR,Unknown,6,17.0,Akash Madhwal,Vaibhav Suryavanshi,57.0,Akash Madhwal,3--29,28.57142857142857,28.57142857142857,0.4,0.4,1.32,1.6958174904942966,1.4597701149425288,1.5473684210526315
63,"May 21,2025","Wankhede Stadium, Mumbai",MI,DC,League,DC,Bowl,180.0,5.0,121.0,10.0,completed,MI,59,Unknown,10.0,Suryakumar Yadav,Suryakumar Yadav,73.0,Mitchell Santner,3--11,50.0,57.14285714285714,0.6,0.4,1.495,1.3409090909090908,1.8045602605863191,1.6548042704626331
64,"May 22,2025","Narendra Modi Stadium, Ahmedabad",GT,LSG,League,GT,Bowl,235.0,2.0,202.0,9.0,completed,LSG,33,Unknown,0.0,Mitchell Marsh,Mitchell Marsh,117.0,Will O'Rourke,3--27,60.0,42.85714285714285,0.4,0.4,1.4270462633451957,1.4206500956022945,1.596969696969697,1.544378698224852
65,"May 23,2025","Ekana Cricket Stadium, Lucknow",RCB,SRH,League,RCB,Bowl,231.0,6.0,189.0,10.0,completed,SRH,42,Unknown,1.0,Ishan Kishan,Ishan Kishan,94.0,Pat Cummins,3--28,62.5,42.85714285714285,0.6,0.6,1.4883720930232558,1.3948412698412698,1.6824817518248176,1.7761194029850746
66,"May 24,2025","Sawai Mansingh Stadium, Jaipur",PBKS,DC,League,DC,Bowl,206.0,8.0,208.0,4.0,completed,DC,Unknown,6,3.0,Sameer Rizvi,Sameer Rizvi,58.0,Mustafizur Rahman,3--33,64.70588235294117,57.14285714285714,0.6,0.4,1.526148969889065,1.3409090909090908,1.8675078864353312,1.6548042704626331
67,"May 25,2025","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,CSK,Bat,230.0,5.0,147.0,10.0,completed,CSK,83,Unknown,9.0,Dewald Brevis,Dewald Brevis,57.0,Noor Ahmad,3--21,60.0,28.57142857142857,0.4,0.4,1.4270462633451957,1.32,1.596969696969697,1.4597701149425288
68,"May 25,2025","Arun Jaitley Stadium, Delhi",KKR,SRH,League,SRH,Bat,278.0,3.0,168.0,10.0,completed,SRH,110,Unknown,8.0,Heinrich Klassen,Heinrich Klassen,105.0,Jaydev Unadkat,3--24,35.714285714285715,42.85714285714285,0.2,0.6,1.4717391304347829,1.3948412698412698,1.681159420289855,1.7761194029850746
69,"May 26,2025","Sawai Mansingh Stadium, Jaipur",PBKS,MI,League,PBKS,Bowl,184.0,7.0,187.0,3.0,completed,PBKS,Unknown,7,9.0,Josh Inglis,Josh Inglis,73.0,Arshdeep Singh,2--28,64.70588235294117,50.0,0.6,0.6,1.526148969889065,1.495,1.8675078864353312,1.8045602605863191
70,"May 27,2025","Ekana Cricket Stadium, Lucknow",LSG,RCB,League,RCB,Bowl,227.0,3.0,230.0,4.0,completed,RCB,Unknown,6,8.0,Jitesh Sharma,Rishabh Pant,118.0,Will O'Rourke,2--74,42.85714285714285,62.5,0.4,0.6,1.4206500956022945,1.4883720930232558,1.544378698224852,1.6824817518248176
71,"May 29,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,Playoffs,RCB,Bowl,101.0,10.0,106.0,2.0,completed,RCB,Unknown,8,60.0,Suyash Sharma,Phil Salt,56.0,Suyash Sharma,3--17,64.70588235294117,62.5,0.6,0.6,1.526148969889065,1.4883720930232558,1.8675078864353312,1.6824817518248176
72,"May 30,2025","New PCA Cricket Stadium, Mullanpur",GT,MI,Playoffs,MI,Bat,228.0,5.0,208.0,6.0,completed,MI,20,Unknown,0.0,Rohit Sharma,Rohit Sharma,81.0,Sai Kishore,2--42,60.0,50.0,0.4,0.6,1.4270462633451957,1.495,1.596969696969697,1.8045602605863191
73,"June 1,2025","Narendra Modi Stadium, Ahmedabad",PBKS,MI,Playoffs,PBKS,Bowl,203.0,6.0,207.0,5.0,completed,PBKS,Unknown,5,6.0,Shreyas Iyer,Shreyas Iyer,87.0,Azmatullah Omarzai,2--43,64.70588235294117,50.0,0.6,0.6,1.526148969889065,1.495,1.8675078864353312,1.8045602605863191
74,"June 3,2025","Narendra Modi Stadium, Ahmedabad",RCB,PBKS,Final,PBKS,Bowl,190.0,9.0,184.0,7.0,completed,RCB,6,Unknown,0.0,Krunal Pandya,Shashank Singh,61.0,Arshdeep Singh,3--40,62.5,64.70588235294117,0.6,0.6,1.4883720930232558,1.526148969889065,1.6824817518248176,1.8675078864353312
